name,traffic_score,rating,category,state
Red Gym & Fitness Centre,37.0,4.6,Gyms & Studios,Perak
TCE Tackles Sdn Bhd,58.86,4.1,Fishing & Hunting,Kedah
Arena Sukan Kuala Lumpur ( ASKL ),65.57,4.8,Recreation Centers,Kuala Lumpur
The Club @ IJM Rimbayu,40.17,4.4,Saunas & Spas,Selangor
Ara Court Badminton Hall,52.86,3.9,Other Outdoor & Lawn Sports,Selangor
Next Revenue Badminton Hall (Book with AFA),52.29,3.8,Other Outdoor & Lawn Sports,Kuala Lumpur
LifenFitness Seventeen,43.71,4.9,Gyms & Studios,Selangor
"Pusat Akuatik Hang Jebat,",51.57,3.9,Recreation Centers,Other
Sunway Sports Center,27.86,3.9,Recreation Centers,Other
Fat 2 Fit,35.43,4.1,Gyms & Studios,Selangor
Kolam Pancing Kelimas Enterprise,45.57,3.5,Fishing & Hunting,Perak
Mission-Q Escape Room,54.29,4.8,Recreation Centers,Selangor
Central Park Dataran Sunway,46.43,4.0,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,45.43,4.1,Fishing & Hunting,Terengganu
D Joran Bagus,43.83,4.1,Fishing & Hunting,Johor
Gympark Fitness HQ,55.29,4.2,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,66.57,4.5,Fishing & Hunting,Selangor
Permata Sports Complex,34.57,4.0,Other Outdoor & Lawn Sports,Other
"24-Hour Gym: Anytime Fitness Damansara Jaya, Atria Shopping Gallery.",39.14,4.7,Gyms & Studios,Selangor
Mudtrekker Paintball Park,28.83,4.7,Paintball & Laser,Selangor
SUK Selangor Sports Complex,32.71,4.2,Recreation Centers,Selangor
Sport City Indahpura,31.43,4.0,Recreation Centers,Johor
Aero Gym and Fitness Centre,41.86,4.6,Gyms & Studios,Johor
Kompleks 3K MBSJ Serdang Raya,45.14,3.9,Recreation Centers,Selangor
Power Master Gym & Fitness,43.71,4.1,Gyms & Studios,Other
KBS Tackle Sdn Bhd,42.33,4.2,Fishing & Hunting,Sabah
All Stars Futsal,22.0,4.3,Recreation Centers,Negeri Sembilan
TCE Tackles Sdn Bhd,70.14,4.2,Fishing & Hunting,Johor
Mei Jia Mini Market,71.17,4.2,Fishing & Hunting,Negeri Sembilan
"AU5 , KERAMAT,SKATEPARK",34.0,4.0,Skating & Rinks,Selangor
Curves Bandar Sri Damansara,45.43,5.0,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,61.14,4.2,Fishing & Hunting,Other
Chia Fishing Tackle Trading,66.5,4.3,Fishing & Hunting,Selangor
Anytime Fitness Metro Prima Kepong - 24 Hour Gym,36.86,4.2,Gyms & Studios,Kuala Lumpur
Star Fitness Damansara,32.0,3.8,Gyms & Studios,Selangor
Curves Sunway Nexis,46.33,4.8,Gyms & Studios,Selangor
Yoshaa Fishing Store,45.43,4.7,Fishing & Hunting,Negeri Sembilan
GSS Global Sports Solution,39.43,4.3,Recreation Centers,Other
TCE Tackles Sdn Bhd,44.71,4.3,Fishing & Hunting,Selangor
RNJ SWIMMING ACADMEY (KEPONG BRANCH) (formerly known as Swim Splash Academy),64.5,4.8,Recreation Centers,Kuala Lumpur
TCE Tackles Sdn Bhd,44.29,4.3,Fishing & Hunting,Perak
Cha Yong Badminton Center,33.86,4.2,Other Outdoor & Lawn Sports,Johor
Gemas Golf Resort,25.71,3.5,Golf & Driving Ranges,Negeri Sembilan
Kolam Memancing Batu Arang 123,21.43,4.2,Fishing & Hunting,Selangor
INF Badminton Court | Jalan Fatimah | 鼎立羽球场,49.43,4.4,Other Outdoor & Lawn Sports,Johor
YTP Sports Arena,31.57,4.0,Team Sports & Fields,Selangor
Lifestyle Gym,62.14,4.3,Gyms & Studios,Sarawak
Cobra Gym Express Senawang 24 Hour Fitness,37.29,4.3,Gyms & Studios,Negeri Sembilan
X Park Sunway City Ipoh,33.71,4.1,Recreation Centers,Perak
TCE Tackles Sdn Bhd,69.71,4.2,Fishing & Hunting,Perak
Perniagaan Cabaran Belantara,58.57,4.0,Fishing & Hunting,Kedah
Triple T Boxing Academy,26.14,4.8,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,62.86,4.1,Fishing & Hunting,Selangor
Seven Star Gym & Fitness,43.43,4.9,Gyms & Studios,Penang
Bandar Utama Golf Course,45.0,3.8,Golf & Driving Ranges,Selangor
Fish Garden Sungai Janggut Jeram,49.29,3.6,Fishing & Hunting,Selangor
Koryo Taekwondo Club Bandar Bukit Raja Klang (Koryo Taekwondo Excellence Centre),54.33,4.9,Gyms & Studios,Selangor
Bukit Kemuning Golf & Country Resort,44.5,4.0,Golf & Driving Ranges,Selangor
ABOVE FITNESS RAWANG,47.71,4.6,Gyms & Studios,Selangor
Mahkota Hills Club House,22.43,4.1,Recreation Centers,Negeri Sembilan
ATSA Sabah Taekwondo,32.0,4.9,Martial Arts & Dojos,Sabah
Olympic Sports & Fitness Sdn Bhd,34.71,4.4,Gyms & Studios,Penang
Body Engineers Fitness,36.71,4.6,Gyms & Studios,Selangor
Tambun Herbal Sauna,53.0,4.3,Saunas & Spas,Penang
TCE Tackles Sdn Bhd,55.0,4.5,Fishing & Hunting,Johor
Pro One Badminton Court,36.29,4.0,Other Outdoor & Lawn Sports,Selangor
Batu Pahat Golf Club,40.86,4.0,Golf & Driving Ranges,Johor
PLSC GEL BLASTER MALAYSIA,63.0,4.0,Shooting & Gun Ranges,Selangor
Kolam Pancing Udang Galah kg subang,71.0,4.1,Fishing & Hunting,Selangor
Lite Fitness Raub,50.17,4.4,Gyms & Studios,Pahang
M factory Gym,36.29,4.8,Gyms & Studios,Johor
Trobong Bay,25.29,3.9,Fishing & Hunting,Sabah
Futsal MG2 Teras Jernang,24.43,4.3,Gyms & Studios,Selangor
"Gympark Fitness, Klang Utama",37.71,4.4,Gyms & Studios,Selangor
MST Golf Super Store Plaza Shell,45.71,4.4,Golf & Driving Ranges,Sabah
Hutan Lipur Ulu Bendul,38.0,4.5,Recreation Centers,Negeri Sembilan
Master Badminton Club (MBC) Gunung Rapat,54.86,4.3,Other Outdoor & Lawn Sports,Perak
Our Gym,40.0,4.1,Gyms & Studios,Selangor
"Gympark Fitness, PJ222",57.43,4.6,Gyms & Studios,Selangor
LifenFitness Bukit Bintang,15.86,4.8,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,63.0,4.4,Fishing & Hunting,Terengganu
Kolam Pancing Air Masin ADURO,34.86,3.7,Fishing & Hunting,Selangor
Dewan Badminton Game Point,39.43,4.4,Other Outdoor & Lawn Sports,Johor
badminton court,31.29,4.1,Other Outdoor & Lawn Sports,Johor
Samarahan Country Club,55.86,4.0,Golf & Driving Ranges,Sarawak
Shah Alam Extreme Park,51.29,4.3,Skating & Rinks,Selangor
Celebrity Fitness Gym - Endah Parade,48.29,3.5,Gyms & Studios,Kuala Lumpur
Kolam Pancing Big Boss,34.14,3.8,Fishing & Hunting,Selangor
TS Sport Complex Sdn. Bhd.,32.71,4.0,Recreation Centers,Johor
Falim Sports Centre,46.71,4.1,Recreation Centers,Perak
Kolam Memancing Udang Galah Abang Roi,41.0,4.1,Fishing & Hunting,Selangor
Bukit Banang Golf & Country Club,66.29,3.6,Golf & Driving Ranges,Johor
TCE Tackles Sdn Bhd,66.43,4.1,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,61.86,4.3,Fishing & Hunting,Selangor
TCE Tackles Sdn Bhd,61.43,4.2,Fishing & Hunting,Sarawak
Anytime Fitness Tamarind Square,42.57,4.2,Gyms & Studios,Selangor
Pura Kencana Swimming Pool,39.14,3.9,Gyms & Studios,Johor
Penang Golf Club,55.71,4.1,Golf & Driving Ranges,Other
Oops! Gym Steam and Sauna,66.71,3.4,Saunas & Spas,Kuala Lumpur
One More Rep Gymnasium Sri Serdang,48.43,4.4,Gyms & Studios,Selangor
The Sports Barn PJ,39.43,3.9,Recreation Centers,Selangor
The Optimum Fitness Centre,41.86,3.9,Gyms & Studios,Kedah
Batu Berendam Badminton,25.71,4.2,Recreation Centers,Melaka
Sunway Pyramid Ice,62.86,4.3,Skating & Rinks,Selangor
Equine Park Fitness Seri Kembangan,39.43,4.4,Gyms & Studios,Selangor
W.O.S Petaling Jaya,29.43,4.5,Recreation Centers,Selangor
Orna Golf & Country Club,54.43,3.8,Golf & Driving Ranges,Melaka
1stopfishing Shah Alam,59.57,4.3,Fishing & Hunting,Selangor
Kajang United BC (KUBC),62.0,3.7,Other Outdoor & Lawn Sports,Selangor
D'Popeye Gym,32.71,4.6,Gyms & Studios,Kuala Lumpur
Level Up Fitness Xpress Kuala Terengganu,52.0,4.3,Gyms & Studios,Terengganu
Impian Golf & Country Club,69.83,4.1,Golf & Driving Ranges,Selangor
TCE Tackles Sdn Bhd,53.14,4.0,Fishing & Hunting,Kedah
Muscle Construct Gym,43.14,4.7,Gyms & Studios,Kedah
SEVEN STAR GYM GELUGOR,56.71,4.5,Gyms & Studios,Other
Shah Alam Badminton Centre,58.0,4.1,Recreation Centers,Selangor
Kompleks Sukan USM,43.14,4.4,Recreation Centers,Other
Winning Futsal,31.57,4.2,Recreation Centers,Other
Cyberjaya Paintball Park,43.29,4.5,Paintball & Laser,Other
Ultimate Sporthaus,27.29,4.1,Recreation Centers,Negeri Sembilan
Leonian Malaysia Sdn Bhd (HQ),55.0,4.8,Golf & Driving Ranges,Selangor
TCE Tackles Sdn Bhd,49.57,4.7,Fishing & Hunting,Kedah
Monarchy MMA | Bangsar Branch,47.0,4.8,Martial Arts & Dojos,Kuala Lumpur
Blue Water,54.57,4.4,Fishing & Hunting,Johor
Villain Barbell Club,47.86,4.6,Gyms & Studios,Selangor
Kompleks Sukan PKNS,30.29,4.3,Recreation Centers,Selangor
FitLab Studio & Gym,27.0,4.8,Gyms & Studios,Negeri Sembilan
USJ 23 Badminton Court,32.0,3.8,Other Outdoor & Lawn Sports,Selangor
Bangi Golf Resort,29.71,4.1,Golf & Driving Ranges,Selangor
Ponderosa Golf & Country Resort,69.57,4.1,Golf & Driving Ranges,Johor
Tun Razak National Tennis Centre - Jalan Duta,65.86,4.4,Racquet & Club Sports,Kuala Lumpur
Kungfu Dojo Sabah,34.67,4.8,Gyms & Studios,Sabah
Hulu Langat Fishing Resort & Restaurant,14.71,4.2,Fishing & Hunting,Selangor
Hasya Joran,51.14,4.0,Fishing & Hunting,Selangor
Heartcore Angler,53.17,4.7,Fishing & Hunting,Selangor
Level Up Fitness Xpress BDC (24-Hour Gym),55.67,4.2,Gyms & Studios,Sarawak
FOR U FITNESS,50.14,4.6,Gyms & Studios,Kedah
Kota Damansara Driving Range,51.0,4.0,Golf & Driving Ranges,Selangor
Brader Rosly Island Hopping,49.14,4.4,Water & Aquatic Sports,Kedah
TCE Tackles Sdn Bhd,64.29,4.2,Fishing & Hunting,Johor
Patikang Futsal Club,48.57,4.8,Ball Sports,Sabah
TCE Tackles Sdn Bhd,56.57,4.2,Fishing & Hunting,Johor
X Park Sendayan,24.14,4.4,Recreation Centers,Negeri Sembilan
Infinity Gym Fitness,39.71,4.7,Gyms & Studios,Kedah
OUG Shuttle Bug Sports Centre,22.0,4.1,Other Outdoor & Lawn Sports,Kuala Lumpur
DR Y & S FITNESS CENTRE KK,60.0,4.9,Gyms & Studios,Selangor
Kolam Pancing KMK,60.17,4.2,Fishing & Hunting,Kedah
EXCELL GYM FITNESS CENTER LARKIN IDAMAN,46.83,4.4,Gyms & Studios,Johor
Aurora Studio,66.67,4.7,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,55.0,4.2,Fishing & Hunting,Sarawak
U-Fitness Gym Centre,50.0,4.6,Gyms & Studios,Johor
BELIEVE FITNESS ATIVO PLAZA,30.86,4.0,Gyms & Studios,Kuala Lumpur
Elements Badminton Court,41.0,4.3,Recreation Centers,Selangor
Gym Story Fitness Centre,39.29,4.7,Gyms & Studios,Johor
Futsal Kg.melayu Subang,22.29,3.9,Ball Sports,Selangor
Fairview Eduresort @ Port Dickson,36.57,3.8,Other Outdoor & Lawn Sports,Negeri Sembilan
TCE Tackles Sdn Bhd,59.86,4.3,Fishing & Hunting,Kedah
Angelus Fitness Metrocity,43.57,4.5,Gyms & Studios,Sarawak
Forum Klang Badminton Centre,29.0,4.5,Other Outdoor & Lawn Sports,Selangor
GoFit - Central i-City Mall,50.57,4.0,Gyms & Studios,Selangor
Mines Driving Range,29.29,3.6,Golf & Driving Ranges,Selangor
Star Gym Health Centre Kuantan,49.29,4.5,Gyms & Studios,Pahang
Lavana 2 Sports Centre (Subang),55.43,4.3,Other Outdoor & Lawn Sports,Selangor
TCE Tackles Sdn Bhd,73.86,3.9,Fishing & Hunting,Kedah
Fitnacle Subang,62.86,4.8,Gyms & Studios,Selangor
"Peak Fitness Citta Mall, Ara Damansara",39.86,4.3,Gyms & Studios,Selangor
Kama'A Rejuvenation & Wellbeing Spa,43.57,4.8,Saunas & Spas,Sabah
Jari Bayu Spa & Reflexology,50.0,4.3,Saunas & Spas,Sabah
RFC Fitness,47.57,4.6,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,59.86,4.4,Fishing & Hunting,Johor
Fitness First Gym - Setia City Mall,42.43,3.8,Gyms & Studios,Selangor
Footballhub @ Twentyfive.7,45.86,4.3,Team Sports & Fields,Selangor
TCE Tackles Sdn Bhd,74.86,4.0,Fishing & Hunting,Sabah
"Hockey Stadium, Universiti Sains Malaysia",36.0,4.5,Team Sports & Fields,Penang
TCE Tackles Sdn Bhd,54.71,4.4,Fishing & Hunting,Sarawak
Futsalhub @ Sunsuria Avenue,29.0,4.1,Recreation Centers,Selangor
Master Badminton Club | MBC | Jalan Kuala Kangsar,45.14,4.4,Other Outdoor & Lawn Sports,Perak
MBPP Relau Sport Complex,63.0,4.4,Recreation Centers,Other
TCE Tackles Sdn Bhd,67.0,4.1,Fishing & Hunting,Negeri Sembilan
TCE Tackles Sdn Bhd,72.14,4.2,Fishing & Hunting,Melaka
TCE Tackles Sdn Bhd,70.14,4.2,Fishing & Hunting,Sabah
TCE Tackles Sdn Bhd,58.71,4.3,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,51.71,4.1,Fishing & Hunting,Pahang
KB Futsal Arena,35.43,4.0,Ball Sports,Kelantan
Fitness Star,55.67,4.5,Gyms & Studios,Perak
TCE Tackles Sdn Bhd,59.0,4.3,Fishing & Hunting,Perak
Anytime Fitness Sunway Big Box,29.86,4.8,Gyms & Studios,Johor
Underground Fitness,39.86,4.7,Gyms & Studios,Kuala Lumpur
Hitfat,33.33,4.9,Gyms & Studios,Kelantan
TiJay Sports (TJS) Gymnastics Academy,42.83,5.0,Gyms & Studios,Selangor
Palm Garden Golf Club,50.86,4.3,Golf & Driving Ranges,Putrajaya
Balakong Badminton Sports Center,50.86,4.3,Other Outdoor & Lawn Sports,Selangor
ZM Pro Fishing Shop- menjual peralatan memancing,53.83,4.4,Fishing & Hunting,Other
Proshuttle Balakong Badminton Court,27.14,4.2,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,54.43,3.7,Fishing & Hunting,Kedah
KSL Sports,34.86,4.1,Recreation Centers,Selangor
Pinnacle Fitness,46.5,4.9,Gyms & Studios,Kuala Lumpur
Fitworx Fitness Centre @ Amcorp Mall,38.71,4.0,Gyms & Studios,Selangor
MYSA Futsal & Gym,51.43,4.3,Gyms & Studios,Pahang
Champion Badminton Courts & Pro Shop,52.0,4.5,Other Outdoor & Lawn Sports,Sarawak
TLS Fitness Center Sdn Bhd,40.0,4.6,Gyms & Studios,Selangor
Furious Bootcamp,30.57,4.7,Gyms & Studios,Kuala Lumpur
Level Up Fitness City Mall (Premium 24-Hour Gym),67.86,4.4,Gyms & Studios,Sabah
MST Golf Pelangi Driving Range,61.86,3.8,Golf & Driving Ranges,Johor
Level Up fitness Segamat,45.0,3.6,Gyms & Studios,Johor
Life Hot Yoga @ Mont Kiara,45.57,5.0,Gyms & Studios,Kuala Lumpur
Kedai Pancing Perniagaan Ewatt - Cawangan Jerteh,65.83,4.1,Fishing & Hunting,Terengganu
Champion Futsal Court,36.0,4.3,Ball Sports,Sarawak
Three Brother Ooi Sports Centre,47.43,4.0,Other Outdoor & Lawn Sports,Kedah
JPS TACKLE,65.57,4.2,Fishing & Hunting,Johor
Spacerubix,47.57,4.4,Recreation Centers,Selangor
Seven Star gym Relau,46.14,4.6,Gyms & Studios,Penang
First Traxx Ski Snowboard,42.4,3.8,Gyms & Studios,Selangor
Air Force Recreation Club,63.14,4.2,Golf & Driving Ranges,Selangor
Jump Street Asia (Kuala Lumpur),54.33,4.6,Recreation Centers,Selangor
Level Up Fitness Xpress SkyArena (24-Hour Gym),44.67,4.2,Gyms & Studios,Sabah
Sports Prima Sdn Bhd,36.0,4.2,Ball Sports,Johor
TCE Tackles Sdn Bhd,59.86,4.1,Fishing & Hunting,Melaka
Wela Trading,67.83,4.8,Fishing & Hunting,Kelantan
Prima Badminton Centre,37.86,4.2,Other Outdoor & Lawn Sports,Selangor
TCE Tackles Sdn Bhd,61.86,4.1,Fishing & Hunting,Perak
Youth and Sports Complex of Johor,24.14,4.1,Recreation Centers,Johor
Anytime Fitness Sunway Geo,45.29,3.6,Gyms & Studios,Selangor
FitClub 24-Hour Gym,26.57,4.5,Gyms & Studios,Selangor
MST Golf Outlet Store Kelana Parkview,49.57,3.9,Golf & Driving Ranges,Selangor
Anytime Fitness High Park Suite Kelana Jaya,24.14,4.7,Gyms & Studios,Selangor
Anytime Fitness,29.86,4.1,Gyms & Studios,Selangor
Michael's Badminton Academy @ Port Dickson,43.57,3.7,Other Outdoor & Lawn Sports,Negeri Sembilan
Fitness by Platinum Pro Gym,32.71,4.2,Gyms & Studios,Selangor
XZone Futsal Center,20.29,4.7,Gyms & Studios,Terengganu
TCE Tackles Sdn Bhd,61.14,4.6,Fishing & Hunting,Sarawak
Ruat Derhaka,43.71,4.8,Fishing & Hunting,Johor
Zinc Fishing Tackle Sdn Bhd,62.33,4.5,Fishing & Hunting,Kuala Lumpur
Burning Jack Fitness Studio,27.71,4.5,Gyms & Studios,Selangor
Kolam Pancing Udang RIINFA Hulu Langat,50.83,4.3,Fishing & Hunting,Selangor
SuperPark Malaysia,61.86,4.8,Recreation Centers,Kuala Lumpur
The Iron Gym,34.71,4.0,Gyms & Studios,Selangor
Anytime Fitness Shaftsbury Putrajaya,34.43,4.7,Gyms & Studios,Putrajaya
Setia Alam Badminton Arena,39.71,4.4,Team Sports & Fields,Selangor
Chop Kim Tong Hoe,64.0,4.2,Fishing & Hunting,Selangor
Coliseum Fitness,60.57,4.9,Gyms & Studios,Selangor
"Savage Gears Gym (Taman SEA, PJ)",47.86,4.9,Gyms & Studios,Selangor
High Reps Gym & Fitness,38.17,4.6,Gyms & Studios,Penang
Cobra Gym Express Sg Udang Klang 24 Hour Fitness,44.0,4.4,Gyms & Studios,Selangor
Celebrity Fitness Gym - Bangsar Village 2,56.71,3.8,Gyms & Studios,Kuala Lumpur
Super Sports Badminton,32.29,4.0,Other Outdoor & Lawn Sports,Johor
Futsal Complex Presint 18,38.86,4.2,Recreation Centers,Putrajaya
Fitness First Gym - The Curve,49.14,3.9,Gyms & Studios,Selangor
Tanjong Puteri Golf B/C course,38.29,4.0,Golf & Driving Ranges,Johor
CATS Fitness Gym (CFG),48.29,3.7,Gyms & Studios,Kedah
Ace Tennis Academy (M) Sdn. Bhd.,39.0,4.8,Racquet & Club Sports,Selangor
De X Gym Fitness & Studio,38.29,4.2,Gyms & Studios,Sarawak
Kelab Sosial Dan Rekreasi Lembaga Pelabuhan Kelang,22.14,4.3,Recreation Centers,Selangor
LifenFitness TTDI,33.29,4.9,Gyms & Studios,Kuala Lumpur
Kolam Pancing Udang Harimau GP,70.67,3.9,Recreation Centers,Selangor
FireFit - Batai Village | Fire Station 1,34.71,4.7,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,64.29,4.1,Fishing & Hunting,Pahang
House Of Champions MY,37.86,4.7,Gyms & Studios,Selangor
IGFA Fishing Sports Enterprise,56.17,4.4,Fishing & Hunting,Selangor
Yee Sport Fishing,50.5,4.2,Fishing & Hunting,Selangor
Padang Bola Sepak UiTM Seremban,47.43,4.3,Ball Sports,Negeri Sembilan
TCE Tackles Sdn Bhd,68.86,4.2,Fishing & Hunting,Kedah
Celebrity Fitness Gym - Sunway Pyramid,46.71,3.5,Gyms & Studios,Selangor
Fitness Score 24/7 Gym,26.0,4.8,Gyms & Studios,Selangor
Anytime Fitness PJ33,34.29,3.7,Gyms & Studios,Selangor
Best Bola-Bola Sport Centre,30.43,4.1,Ball Sports,Penang
Maple Gold Recreation Center,41.43,4.1,Recreation Centers,Other
89 Arena Klang,38.14,4.2,Recreation Centers,Other
TCE Tackles Sdn Bhd,58.43,4.3,Fishing & Hunting,Kelantan
R7 Futsal Centre,26.86,4.2,Ball Sports,Perlis
Pusat Bina Bodytalk Gym & Sauna,54.57,3.5,Gyms & Studios,Perak
Siong Fishing Tackle,49.57,4.6,Fishing & Hunting,Selangor
Bubble Sports Complex Cheras,48.86,4.2,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,54.14,4.0,Fishing & Hunting,Terengganu
Seven Star Gym Batu Lancang,24.86,4.9,Gyms & Studios,Penang
Real Fishing Tackle,62.17,4.1,Fishing & Hunting,Pahang
Verticale Malaysia Sdn Bhd,57.0,4.8,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,66.57,4.5,Fishing & Hunting,Johor
Palm Resort Golf & Country Club,66.0,4.2,Golf & Driving Ranges,Johor
Andalas Sports Complex,38.43,4.1,Recreation Centers,Selangor
Celebrity Fitness Gym - Bukit Rimau,36.57,4.2,Gyms & Studios,Selangor
Kedai Pancing Marang Tackle Ent,49.0,4.4,Fishing & Hunting,Terengganu
KakiGym Kajang,44.5,4.4,Gyms & Studios,Selangor
Olympia Badminton Arena,46.57,4.4,Team Sports & Fields,Sabah
Revelation Republic,50.17,4.8,Gyms & Studios,Selangor
Ranau Borneo Paragliding,59.71,4.7,Recreation Centers,Sabah
Java And Fitness,38.43,4.2,Gyms & Studios,Sarawak
TCE Tackles Sdn Bhd,70.86,4.4,Fishing & Hunting,Negeri Sembilan
Kolam Pancing Udang Galah Batu 8,51.14,4.4,Fishing & Hunting,Kedah
Chendering Futsal,37.43,4.2,Recreation Centers,Pahang
Telok Tongkah Enterprise,52.86,3.9,Fishing & Hunting,Selangor
SS2 Fishing Fever Angler,45.17,4.9,Fishing & Hunting,Selangor
Staffield Country Resort Bhd,65.29,4.1,Golf & Driving Ranges,Negeri Sembilan
Project Rock Climbing Gym,58.71,4.7,Gyms & Studios,Other
KHTP Sports Complex,28.0,4.2,Recreation Centers,Kedah
Usan Trading Company,62.86,4.1,Fishing & Hunting,Selangor
DMS Sports Centre,30.0,4.3,Recreation Centers,Selangor
Hup Lee Fishing Tackle,82.83,4.5,Fishing & Hunting,Johor
Kolam Pancing Syawal,21.0,3.9,Fishing & Hunting,Johor
SRI RAMPAI FISHING TACKLE,64.0,4.4,Fishing & Hunting,Kuala Lumpur
Kemaman Golf Driving Range,49.71,4.0,Golf & Driving Ranges,Terengganu
Pusat Sukan Universiti Malaya,63.2,4.4,Recreation Centers,Kuala Lumpur
Gopi K-Mark Gym,45.67,4.0,Gyms & Studios,Selangor
Club27fitness,22.0,4.5,Gyms & Studios,Johor
KOA FITNESS,30.29,4.9,Gyms & Studios,Kuala Lumpur
Carey Island Golf Club,48.86,4.2,Golf & Driving Ranges,Selangor
Anytime Gym & Fitness,38.43,4.7,Gyms & Studios,Sabah
Scuba Junkie,64.43,4.3,Water & Aquatic Sports,Sabah
TCE Tackles Sdn Bhd,61.71,4.5,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,64.29,4.4,Fishing & Hunting,Sarawak
Hamdhy & Co.,28.29,4.2,Recreation Centers,Selangor
BKS IYENGAR YOGASHALA,54.29,4.7,Gyms & Studios,Kuala Lumpur
Galacticos de Futsal Ampang,37.43,4.3,Ball Sports,Selangor
Active Hydro Control Sdn Bhd,58.8,4.3,Ball Sports,Selangor
Anytime Fitness Bandar Utama (Centrepoint),30.86,4.5,Gyms & Studios,Selangor
Grand Fitness,39.57,4.2,Gyms & Studios,Penang
DEWAN SERBA GUNA KAMPUNG SRI FAJAR,44.29,4.2,Other Outdoor & Lawn Sports,Pahang
KB | Kwok Bao | 國寶 Badminton Court,39.14,4.3,Other Outdoor & Lawn Sports,Perak
Heng Fishing Tackle,36.83,4.2,Fishing & Hunting,Johor
"Peak Fitness Gurney Plaza, Penang",44.0,4.4,Gyms & Studios,Other
Senwell Fishing Park,41.71,4.4,Fishing & Hunting,Perak
APACS BADMINTON CENTRE,50.29,4.3,Other Outdoor & Lawn Sports,Johor
Ewako MMA,51.29,4.5,Gyms & Studios,Sabah
EZ Blast Gym,45.86,4.2,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,66.29,4.2,Fishing & Hunting,Terengganu
TCE Tackles Sdn Bhd,11.43,4.2,Fishing & Hunting,Selangor
Burly Gym Fitness Centre,44.0,4.6,Gyms & Studios,Johor
关丹建造行武术醒狮团,31.14,4.7,Gyms & Studios,Pahang
TCE Tackles Sdn Bhd,52.71,4.1,Fishing & Hunting,Penang
One Badminton Academy,52.43,4.2,Other Outdoor & Lawn Sports,Kuala Lumpur
Supersharkz Swim School @KotaDamansara,36.83,4.5,Water & Aquatic Sports,Selangor
Tanjong Puteri Golf and Resort,61.57,4.1,Golf & Driving Ranges,Johor
Just in Sports Centre,42.43,4.4,Other Outdoor & Lawn Sports,Johor
Celebrity Fitness Gym - Klang Parade,58.57,3.5,Gyms & Studios,Selangor
Ozone Fitness,29.0,4.9,Gyms & Studios,Selangor
Dynamic Gym & Fitness Centre,47.86,4.3,Gyms & Studios,Sarawak
Arena Jubli bangi,24.57,4.5,Team Sports & Fields,Selangor
D'Star Arena Complex,23.86,3.4,Recreation Centers,Selangor
