name,traffic_score,rating,category,state
Journey Indoor Cycling Studio,68.86,4.7,Gyms & Studios,Kuala Lumpur
Sungai Chua Food & Sports Centre,55.86,3.6,Recreation Centers,Selangor
Anytime Fitness Seksyen 9 Shah Alam,32.71,4.6,Gyms & Studios,Selangor
Lavana Sports Centre,50.0,4.2,Recreation Centers,Kuala Lumpur
Hyperflex Fitness,45.29,4.3,Gyms & Studios,Selangor
DO ARENA 163,61.14,4.1,Ball Sports,Kuala Lumpur
The Little Gym of Petaling Jaya,44.67,4.9,Gyms & Studios,Selangor
Kelab Golf Seri Selangor,61.57,4.0,Golf & Driving Ranges,Selangor
Synergy Fitness Puchong,49.57,4.5,Gyms & Studios,Selangor
Kulim Golf & Country Resort,64.29,3.9,Golf & Driving Ranges,Kedah
TCE Tackles Sdn Bhd,49.29,4.1,Fishing & Hunting,Other
Anytime Fitness Nexis,34.57,3.7,Gyms & Studios,Selangor
Kota Seriemas Golf & Country Club,48.71,4.4,Golf & Driving Ranges,Negeri Sembilan
TCE Tackles Bukit Indah,66.71,3.8,Fishing & Hunting,Johor
FLYPROJECT - DC Mall,50.0,4.4,Gyms & Studios,Kuala Lumpur
Fitworx Fitness Centre @ Bukit Jelutong,39.86,4.5,Gyms & Studios,Selangor
Kambiz Warriors Gym,61.43,4.9,Martial Arts & Dojos,Selangor
Angelus Fitness Stapok,51.71,3.9,Gyms & Studios,Sarawak
Ultimate Gym - serious fitness,51.17,4.9,Gyms & Studios,Kuala Lumpur
Borneo Hardcore Gym,54.71,4.2,Gyms & Studios,Sabah
Xin Cheng Enterprise,54.57,4.6,Fishing & Hunting,Sarawak
MST Golf Super Store Subang Jaya,60.0,4.1,Golf & Driving Ranges,Selangor
Enrich Fitness,52.14,4.0,Gyms & Studios,Selangor
Team Powerhouse Fitness,54.43,4.4,Gyms & Studios,Penang
The Little Gym of Subang Jaya,38.8,4.7,Gyms & Studios,Selangor
Bodywork Fitness Centre,33.14,4.4,Gyms & Studios,Perak
Fitwhey Gym Malim,30.0,4.3,Gyms & Studios,Melaka
I-Gym Fitness,56.43,4.3,Gyms & Studios,Sarawak
Nine Three Three Fishing Tackle Shop,65.14,3.9,Fishing & Hunting,Johor
Fishingline Tackle,65.43,4.4,Fishing & Hunting,Johor
Camp5 Climbing Gym Paradigm,55.0,4.7,Gyms & Studios,Johor
Skatepark Bukit Kiara - Jabatan Belia & Sukan WP Kuala Lumpur,52.86,4.3,Skating & Rinks,Kuala Lumpur
Sinamax Badminton Court,26.29,3.9,Other Outdoor & Lawn Sports,Selangor
Sport Line Pro Fishing Shop,64.33,4.3,Fishing & Hunting,Selangor
Vitesse Swim School (Seremban Swimming Lesson),36.29,4.5,Water & Aquatic Sports,Negeri Sembilan
Permata Gym Resources,37.43,4.4,Gyms & Studios,Selangor
52 Forest Sauna & Massage,58.83,3.8,Saunas & Spas,Kuala Lumpur
Kolam Air Panas La ( La Hot Springs),30.71,4.2,Recreation Centers,Terengganu
Celebrity Fitness Gym - Main Place,54.14,4.0,Gyms & Studios,Selangor
Puchong Sport Center,27.71,4.3,Other Outdoor & Lawn Sports,Selangor
The Underdogs Strength & Conditioning,42.5,4.7,Gyms & Studios,Other
Fitness First Gym - IOI Mall Puchong,45.43,3.8,Gyms & Studios,Selangor
The Malacca Club,47.29,4.2,Recreation Centers,Melaka
Bukit Jalil Golf & Country Resort,52.14,3.9,Golf & Driving Ranges,Kuala Lumpur
Moon Fishing Tackle,48.33,4.7,Fishing & Hunting,Selangor
JuaraGym,39.43,4.4,Gyms & Studios,Sabah
TCE Tackles Sdn Bhd,76.57,4.2,Fishing & Hunting,Kelantan
iGP Fitness Centre,24.57,4.2,Gyms & Studios,Johor
FastTrack Gym & Fitness Centre,49.86,4.3,Gyms & Studios,Kuala Lumpur
South Kedah Chinese Recreation Club,28.14,3.8,Recreation Centers,Kedah
Rumah Rakit Pak Itam,21.71,3.9,Fishing & Hunting,Selangor
TCE Tackles Sdn Bhd,65.71,4.0,Fishing & Hunting,Negeri Sembilan
Camp5 Climbing Gym KL Eco City,60.0,4.7,Gyms & Studios,Kuala Lumpur
COLOSSEUM GYM,46.57,4.6,Gyms & Studios,Johor
X Park Sunway South Quay,28.0,4.1,Recreation Centers,Selangor
Fitness Arena,42.83,4.4,Gyms & Studios,Perak
Sunsuria-Pioneer Badminton Hall,41.86,4.0,Other Outdoor & Lawn Sports,Selangor
Nilai Springs Golf & Country Club,73.86,4.0,Golf & Driving Ranges,Negeri Sembilan
Level Up Fitness Xpress Town Square,61.17,4.4,Gyms & Studios,Sarawak
Duta Squash Court,32.71,4.4,Other Outdoor & Lawn Sports,Kuala Lumpur
"Gympark Fitness, Bandar Puteri",38.0,4.8,Gyms & Studios,Selangor
Blue Ice Skating Rink @ Paradigm Mall Johor Bahru,52.0,4.4,Skating & Rinks,Johor
Kompleks Sukan Kota Belud,29.57,3.9,Recreation Centers,Sabah
6 PAX FITNESS CENTRE JB,29.71,4.9,Gyms & Studios,Johor
CHK Arena 赞化阁运动中心,46.71,4.7,Recreation Centers,Other
TCE Tackles Sdn Bhd,52.0,5.0,Fishing & Hunting,Terengganu
Flash Fitness Gym & Sports Centre,48.43,4.9,Gyms & Studios,Melaka
Billion Onsen & Aesthetics - Luxury Spa Kuala Lumpur,26.29,4.7,Saunas & Spas,Kuala Lumpur
"Rahman saudagar umpan Udang, Sotong, & Belanak Hidup",41.57,4.7,Fishing & Hunting,Negeri Sembilan
TCE Tackles Sdn Bhd,44.86,3.7,Fishing & Hunting,Kedah
Anytime Fitness Boulevard Kajang,46.86,4.8,Gyms & Studios,Selangor
24-Hour Gym: Anytime Fitness Bandar Puteri Puchong @ IOI Rio,24.14,4.8,Gyms & Studios,Selangor
F1 FITNESS KUANTAN,55.0,4.8,Gyms & Studios,Pahang
Gym Box - #1 Biggest Gym at Setapak,39.14,4.9,Gyms & Studios,Kuala Lumpur
Utama Farm Prawning,42.71,4.3,Fishing & Hunting,Selangor
Anytime Fitness Sri Damansara,29.43,4.8,Gyms & Studios,Kuala Lumpur
Anytime Fitness Mount Austin,35.29,4.5,Gyms & Studios,Johor
IOI Sports Centre,46.71,3.9,Recreation Centers,Putrajaya
Seriemas SportsPlex,28.71,4.5,Recreation Centers,Negeri Sembilan
Real Fitness,61.43,4.8,Gyms & Studios,Selangor
Blitz Gym,41.71,4.5,Gyms & Studios,Selangor
Icescape,51.71,4.3,Skating & Rinks,Putrajaya
Rumah Rakit Maraie Kg Padang Rumbia,50.71,4.5,Fishing & Hunting,Pahang
Kelab Golf Negara Subang,69.71,4.2,Golf & Driving Ranges,Selangor
Suria Strong Fit Gym,41.0,4.7,Gyms & Studios,Johor
Bubble Sports Complex Tebrau,36.57,4.7,Recreation Centers,Johor
GoFit - Plaza Mont Kiara,43.57,4.4,Gyms & Studios,Kuala Lumpur
Fitness First Gym – 1 Mont Kiara,35.0,3.2,Gyms & Studios,Kuala Lumpur
Good Juju Barbell Club,39.33,4.9,Gyms & Studios,Kuala Lumpur
The One Fitness,60.29,5.0,Gyms & Studios,Kuala Lumpur
Pickle Social Club,41.86,4.6,Other Outdoor & Lawn Sports,Kuala Lumpur
BHub Bouldering,65.14,4.5,Gyms & Studios,Selangor
BUMP Bouldering Pavilion Bukit Jalil,62.57,4.3,Gyms & Studios,Kuala Lumpur
Anytime Fitness Ara Damansara (Dana13),33.0,2.3,Gyms & Studios,Selangor
Anytime Fitness Megah Rise,29.71,3.8,Gyms & Studios,Selangor
Lepak Gym,62.29,5.0,Gyms & Studios,Selangor
Fitnacle Kota Kemuning,55.14,4.9,Gyms & Studios,Selangor
Kampung Gym (Austin),50.29,4.9,Gyms & Studios,Johor
The Flow Studio - Yoga & Pilates | Bangsar,57.71,4.7,Gyms & Studios,Kuala Lumpur
Level Up Fitness Xpress Metrocity (24-Hour Gym),26.43,4.8,Gyms & Studios,Sarawak
GoTeam Sports Complex,19.86,4.2,Recreation Centers,Selangor
Believe Fitness Jaya Shopping Center,23.29,5.0,Gyms & Studios,Selangor
Anytime Fitness Bukit Bintang,41.43,4.6,Gyms & Studios,Kuala Lumpur
Anytime Fitness Jalan Ampang,33.29,4.5,Gyms & Studios,Kuala Lumpur
PUMP FITNESS KL,50.86,4.9,Gyms & Studios,Kuala Lumpur
Maxout Fitness PRO SERIES ( Bukit Mertajam ),52.71,4.8,Gyms & Studios,Other
TNT Fitness Pro,36.57,4.9,Gyms & Studios,Selangor
PUMP FITNESS SUBANG,62.71,5.0,Gyms & Studios,Selangor
"Republic Fitness KK, Centre Point Sabah",66.29,4.9,Gyms & Studios,Sabah
"24-Hour Gym: Anytime Fitness 16 Sierra Puchong, Sierra Fresco.",40.43,4.7,Gyms & Studios,Selangor
Jal Yoga Malaysia (Megah Rise Studio),33.29,4.6,Gyms & Studios,Selangor
The Club Driving Range,47.57,4.1,Golf & Driving Ranges,Selangor
R3 Fitness,42.86,4.3,Gyms & Studios,Johor
TCE Tackles Sdn Bhd,55.43,4.3,Fishing & Hunting,Other
Sion Lee Trading Company,64.0,4.5,Fishing & Hunting,Sarawak
Champion Badminton Court,53.43,4.0,Other Outdoor & Lawn Sports,Selangor
Rainbow Runner Asia Sdn. Bhd,49.4,4.3,Water & Aquatic Sports,Selangor
Shark Fin Swim Academy,26.5,4.6,Recreation Centers,Selangor
Jumpa D'Gym,35.29,5.0,Gyms & Studios,Putrajaya
M SPORTS ARENA,37.86,4.6,Other Outdoor & Lawn Sports,Kuala Lumpur
"LaVista Arena, Bangi Resort Hotel",14.86,4.4,Team Sports & Fields,Selangor
Tops Arena Empire,53.43,4.5,Team Sports & Fields,Kuala Lumpur
Alpha Badminton Complex Bukit Serdang,33.29,4.3,Team Sports & Fields,Selangor
Setapak Badminton Centre,34.57,4.3,Team Sports & Fields,Kuala Lumpur
Optima Utama Sport Center,19.14,3.9,Other Outdoor & Lawn Sports,Selangor
CPS Serdang Badminton Centre,36.0,4.3,Team Sports & Fields,Selangor
Pusat Badminton 148,34.57,4.5,Other Outdoor & Lawn Sports,Pahang
One Tiger Arena,29.71,4.4,Recreation Centers,Selangor
Matrik Shuttle Court,39.29,4.1,Recreation Centers,Kuala Lumpur
Dewan Badminton Cikgu Nie,30.57,4.7,Other Outdoor & Lawn Sports,Kelantan
Satellite Sports Tampoi JB,25.0,4.8,Other Outdoor & Lawn Sports,Johor
TCE Tackles Sdn Bhd,60.0,4.7,Fishing & Hunting,Melaka
Kolam Pancing NSS Fishing Village 渔你同乐,47.43,4.3,Fishing & Hunting,Melaka
1stopfishing Bahau,68.67,4.6,Fishing & Hunting,Negeri Sembilan
TCE Tackles Sdn Bhd,61.71,4.5,Fishing & Hunting,Other
Ultralight Anglers Fishing Tackle,38.71,5.0,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,51.71,4.4,Fishing & Hunting,Selangor
Umpan udang hidup Kg Keluncur,34.14,5.0,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,50.43,4.8,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,51.0,4.7,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,66.43,4.4,Fishing & Hunting,Sabah
Ha Megah Sports Arena (UNITEN),28.71,4.4,Recreation Centers,Selangor
Kolam Pancing Hari Hari Lai ( 天天来钓虾场),59.43,4.2,Fishing & Hunting,Selangor
DFZ THE GYM,23.43,4.4,Gyms & Studios,Johor
Sweat Sweet Fit Ladies GYM & FITNESS CENTRE (Kulai),33.0,4.7,Gyms & Studios,Johor
Hypertrophy Maniac Gym & Fitness,35.0,4.8,Gyms & Studios,Selangor
Musclehub,38.17,4.7,Gyms & Studios,Selangor
Gym First @ XPark Tambun,43.57,4.6,Gyms & Studios,Perak
Core Fit Gym & Fitness Juru,34.71,4.1,Gyms & Studios,Other
Kyro Fitness Bundusan,41.14,4.8,Gyms & Studios,Sabah
Aisyadelia Cottage Sandakan,42.86,4.1,Recreation Centers,Sabah
Anytime Fitness Setia Alam - The Forum,28.14,3.9,Gyms & Studios,Selangor
Bijak bersatu,30.86,4.0,Recreation Centers,Johor
KTC7 Mini Football Gong Badak,34.86,4.9,Team Sports & Fields,Terengganu
Third Space Pilates - Pulau Tikus,42.0,4.9,Gyms & Studios,Other
Line Pilates & Academy,56.43,4.9,Gyms & Studios,Kuala Lumpur
Kizsports & Gym @ Lotus’s Cheras,38.71,4.7,Recreation Centers,Kuala Lumpur
Kopikids Playcafe,44.57,4.8,Recreation Centers,Kedah
BANGKOK SPA TAMAN SENTOSA,35.0,3.9,Saunas & Spas,Johor
Anson Sport Centre,52.0,4.3,Other Outdoor & Lawn Sports,Perak
Kolam Pancing Udang Puchong 钓虾场 蒲种,43.86,4.1,Fishing & Hunting,Selangor
Gardens Arena,18.86,4.2,Team Sports & Fields,Selangor
Flyproject - (Kapas Heights),54.0,3.9,Gyms & Studios,Kuala Lumpur
MUTANT LAB,33.14,4.8,Gyms & Studios,Kuala Lumpur
Kolam Memancing Udang Harimau Ampangan,57.0,5.0,Fishing & Hunting,Negeri Sembilan
Pusat Memancing & Rekreasi A&A,56.43,3.7,Fishing & Hunting,Johor
Naam Kheung Cheras Badminton Centre,37.86,4.2,Other Outdoor & Lawn Sports,Kuala Lumpur
Fitness First Gym - Avenue K,58.71,4.0,Gyms & Studios,Kuala Lumpur
Kedah Badminton Association,29.0,4.3,Team Sports & Fields,Kedah
TCE Tackles Sdn Bhd,61.29,4.4,Fishing & Hunting,Other
W Fishing Station,45.0,4.6,Fishing & Hunting,Kuala Lumpur
Curves Setia Alam,47.33,5.0,Gyms & Studios,Selangor
Celebrity Fitness Lotus’s Kepong,49.57,3.5,Gyms & Studios,Kuala Lumpur
Manjung Indoor Sports Arena,36.57,4.2,Recreation Centers,Perak
MST Golf Pro Shop Glenmarie GCC,62.86,3.9,Golf & Driving Ranges,Selangor
Hi5 MYY,48.57,4.8,Recreation Centers,Sarawak
Camp5 Climbing Gym,51.71,4.6,Gyms & Studios,Selangor
Sport Complex Grand Kampar,43.57,3.8,Recreation Centers,Perak
Beach Republic,40.14,4.0,Recreation Centers,Sarawak
Echogym Centre,49.86,4.4,Gyms & Studios,Selangor
Kompleks Sukan UNISEL,37.57,4.8,Gyms & Studios,Selangor
Semambu Badminton Centre,57.86,4.1,Recreation Centers,Pahang
Northern Pro Tackle sdn bhd ( sungai petani ),54.29,3.8,Fishing & Hunting,Kedah
UTC Sabah Futsal Court,35.0,4.2,Ball Sports,Sabah
Sports Arena Puchong,42.29,4.1,Recreation Centers,Selangor
Sukan Arena Kuantan,28.57,4.4,Team Sports & Fields,Pahang
VI FITNESS,39.29,4.6,Gyms & Studios,Negeri Sembilan
"Manjung Badminton Club ( Manjung Point, Seri Manjung, Perak )",41.57,4.1,Team Sports & Fields,Perak
Permas Sports Complex,43.29,4.0,Recreation Centers,Johor
TCE Tackles Sdn Bhd,73.43,4.5,Fishing & Hunting,Sabah
Drago Arena Football Field,21.43,4.1,Team Sports & Fields,Melaka
Atlantis Fitness Studio,43.57,5.0,Gyms & Studios,Kuala Lumpur
SJK(C) Sungai Buloh Badminton Centre,43.57,4.7,Team Sports & Fields,Selangor
Epifisherman Boat Charter,35.71,4.7,Fishing & Hunting,Selangor
CPS Rawang Badminton Hall,33.43,3.0,Team Sports & Fields,Selangor
Pickle World,36.43,4.0,Other Outdoor & Lawn Sports,Selangor
Zelka Sports Centre,45.43,3.9,Gyms & Studios,Selangor
Celebrity Fitness Gym - 1 Utama,40.71,3.9,Gyms & Studios,Selangor
KBOUNCE K-Style Spinning Johor (The Superhuman Project Sdn Bhd),41.29,5.0,Gyms & Studios,Johor
24-Hour Gym: Anytime Fitness Quayside Mall Gamuda Kemuning,34.57,4.7,Gyms & Studios,Selangor
Airon Golf Driving Range @ Marina Island Lumut,41.57,5.0,Golf & Driving Ranges,Perak
Kompleks Sukan Bangsar,61.14,4.1,Recreation Centers,Kuala Lumpur
Fitworx Fitness Studio @ Denai Alam,39.14,4.0,Gyms & Studios,Selangor
"Kolam Pancing Udang Harimau Taman Perling, JB.",42.57,4.3,Fishing & Hunting,Johor
Anytime Fitness SqWhere Sungai Buloh,28.86,4.1,Gyms & Studios,Selangor
Gentle Pilates & Prenatal Postnatal Pilates,47.43,5.0,Gyms & Studios,Selangor
PWRHOUSE Fitness Studio @ Hartamas,56.57,4.6,Gyms & Studios,Kuala Lumpur
TRIBE Boxing Studio - Mont Kiara (MK),43.14,4.7,Gyms & Studios,Kuala Lumpur
Futsal Future Sport Centre,22.86,4.0,Recreation Centers,Penang
TCE Tackles Sdn Bhd,66.86,4.2,Fishing & Hunting,Kedah
The Kingdom Fitness,58.0,4.6,Gyms & Studios,Other
Kolam Pancing Seksyen 24,29.0,4.2,Fishing & Hunting,Selangor
FISHING KINGDOM SG BURUNG,51.83,3.6,Fishing & Hunting,Perak
Sports Arena @ UNITEN,37.83,4.6,Recreation Centers,Selangor
Kolam Pancing Fish Garden 2,35.86,5.0,Fishing & Hunting,Selangor
Babel TTDI,43.71,4.6,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,59.0,4.3,Fishing & Hunting,Terengganu
Kidzooona AEON Bukit Mertajam,47.71,4.0,Recreation Centers,Other
Brolab Gym,35.86,5.0,Gyms & Studios,Selangor
Gympark Fitness Pandamaran,39.57,4.6,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,56.86,4.1,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,50.43,4.1,Fishing & Hunting,Pahang
7 DAYS FITNESS KULAI BRANCH,34.0,4.0,Gyms & Studios,Johor
LCS Sport Arena,27.29,4.4,Recreation Centers,Pahang
TCE Tackles Sdn Bhd,70.14,4.3,Fishing & Hunting,Sabah
Celebrity Fitness Gym - NU Sentral,46.71,3.7,Gyms & Studios,Kuala Lumpur
RedLine Gym Kuantan Pahang,56.57,4.1,Gyms & Studios,Pahang
JJ Futsal,51.14,3.8,Ball Sports,Selangor
Anytime Fitness KL Gateway,29.14,4.4,Gyms & Studios,Kuala Lumpur
New Vision Badminton Court,38.57,4.0,Team Sports & Fields,Selangor
Celebrity Fitness Gym - Jaya One,34.57,4.0,Gyms & Studios,Selangor
Sentosa Sports Centre,40.14,4.0,Recreation Centers,Sarawak
TCE Tackles Sdn Bhd,65.86,4.2,Fishing & Hunting,Sarawak
TCE Tackles Sdn Bhd,70.86,4.3,Fishing & Hunting,Kedah
TCE Tackles Sdn Bhd,60.57,4.8,Fishing & Hunting,Terengganu
Ace Sports World @ Rooftop Lotus's Kepong,62.57,4.4,Recreation Centers,Kuala Lumpur
TCE Tackles Sdn Bhd,73.57,4.4,Fishing & Hunting,Selangor
TCE Tackles Sdn Bhd,63.71,3.9,Fishing & Hunting,Selangor
"Brother Gym & Fitness, Kangar, Perlis",53.29,4.6,Gyms & Studios,Perlis
Camp5 Climbing Gym,39.14,4.5,Gyms & Studios,Kuala Lumpur
Kompleks Sukan Setiawangsa,55.86,4.3,Recreation Centers,Kuala Lumpur
Ultimate Mma Academy /Kickboxing /Jiujitsu & Muay Thai,29.71,4.9,Martial Arts & Dojos,Johor
Perling Badminton Court,42.86,4.3,Recreation Centers,Johor
Northern Pro Tackle sdn bhd,53.17,4.2,Fishing & Hunting,Other
Ah Kaw Tackle Taman Cendana Shimano Daiwa Abu Garcia Xzoga Daiichi Gtech Hasamu Fixory dealer,57.43,4.4,Fishing & Hunting,Johor
TAEKWONDO RAWANG HYPERMAX ACADEMY,54.8,4.9,Martial Arts & Dojos,Selangor
Penang Indoor Archery X (Level 6),69.29,4.0,Recreation Centers,Penang
Stadium PUSAT SUKAN UTHM,48.14,4.4,Recreation Centers,Johor
HYPE CLUB FITNESS,38.71,4.8,Gyms & Studios,Selangor
Kolam Pancing Udang Galah Kempas,44.0,4.5,Fishing & Hunting,Johor
Anytime Fitness Tasek Central,32.86,4.8,Gyms & Studios,Johor
Gympark Fitness Jenjarom,27.0,4.0,Gyms & Studios,Selangor
A Ling Tackle,67.33,4.0,Fishing & Hunting,Pahang
Dewan Badminton,57.17,4.0,Other Outdoor & Lawn Sports,Johor
Five X Fitness,43.0,4.4,Gyms & Studios,Penang
Pro One Badminton Centre (Pro One),45.29,4.2,Team Sports & Fields,Johor
Dewan An-Nisa Pondok Labu Kulim,43.43,3.9,Other Outdoor & Lawn Sports,Kedah
Manjung Badminton Arena,53.57,4.3,Other Outdoor & Lawn Sports,Perak
Palacio Centre,47.33,3.8,Saunas & Spas,Johor
Dewan Persatuan Badminton Bumiputra Sarawak,69.43,4.2,Other Outdoor & Lawn Sports,Sarawak
TCE Tackles Sdn Bhd,56.0,4.0,Fishing & Hunting,Negeri Sembilan
PJ Palms Sports Centre (old),55.14,4.2,Recreation Centers,Selangor
Daiman Sri Skudai Sports Center,29.29,4.2,Recreation Centers,Johor
Galaxy FIT Fitness,43.71,4.5,Gyms & Studios,Johor
SILVERMANIA FITNESSGROUND,57.67,4.9,Gyms & Studios,Perak
iFITness & Gym,40.71,4.5,Gyms & Studios,Sarawak
SURIA GYM GROUP SDN BHD & LADY'S GYM,38.43,4.6,Gyms & Studios,Johor
Kelab Golf Sarawak,53.43,4.1,Golf & Driving Ranges,Sarawak
Ulu Bendul Fish Valley,49.67,4.5,Fishing & Hunting,Negeri Sembilan
Kelab Rahman Putra Malaysia,64.86,4.1,Golf & Driving Ranges,Selangor
Dynastic Fitness Centre,38.29,3.9,Gyms & Studios,Perak
Pakalangan Bay,31.86,4.1,Recreation Centers,Sabah
Aurora Muslimah Salon & Spa,38.43,4.7,Saunas & Spas,Selangor
13 Aces starhill driving range,54.14,4.2,Golf & Driving Ranges,Johor
Footballhub @ Rimbayu,22.57,4.2,Team Sports & Fields,Selangor
Black Panda Fitness Kepong,42.86,4.9,Gyms & Studios,Kuala Lumpur
Batu Lanchang Basketball Court,35.43,4.2,Team Sports & Fields,Penang
A zone Baskball Court,60.29,4.0,Other Outdoor & Lawn Sports,Other
Muscle House Fitness Center,45.86,4.6,Gyms & Studios,Melaka
DMS GYM,60.14,4.2,Gyms & Studios,Selangor
Fitness First Gym - Cheras Leisure Mall,72.43,4.0,Gyms & Studios,Kuala Lumpur
TCE Tackles Sdn Bhd,72.0,4.5,Fishing & Hunting,Kedah
Amanjaya Sports Arena,33.14,4.4,Recreation Centers,Kedah
Gaya Garden,36.29,4.6,Recreation Centers,Johor
Dewan Badminton Padang Temusu,19.14,3.9,Other Outdoor & Lawn Sports,Kedah
The Royal Selangor Golf Club,65.86,4.4,Golf & Driving Ranges,Kuala Lumpur
HG Kolam Pancing Ban Pecah,53.5,3.8,Fishing & Hunting,Perak
Ashtanga Yoga Therapy Centre Seremban,33.43,5.0,Gyms & Studios,Negeri Sembilan
Starhill Golf & Country Club,82.0,3.9,Golf & Driving Ranges,Johor
Ranau Rabbit Farm,44.57,3.9,Recreation Centers,Sabah
WOW Fitness TTDI,36.29,4.7,Gyms & Studios,Kuala Lumpur
Kedai Pancing Orchid Tackle,70.14,3.9,Fishing & Hunting,Selangor
Pro One Badminton Court Cheras,19.14,4.2,Other Outdoor & Lawn Sports,Selangor
Peralatan Memancing Ikan Qiao Yen,63.29,4.5,Fishing & Hunting,Selangor
Bolder Ventures Climbing Gym,61.71,4.6,Gyms & Studios,Selangor
World Fitness Gym,49.29,4.3,Gyms & Studios,Penang
Sport Heroes,37.14,4.1,Other Outdoor & Lawn Sports,Selangor
Blue Ice Skating Rink @ Sunway 163 Mall,59.57,3.5,Skating & Rinks,Kuala Lumpur
BB Sport Arena,52.43,4.5,Ball Sports,Other
Fitness First Gym - The Gardens Mall,41.86,3.9,Gyms & Studios,Kuala Lumpur
King Fisher Tackle (kk),73.29,4.6,Fishing & Hunting,Sabah
Iron Man Gym & Fitness,34.43,4.9,Gyms & Studios,Selangor
222 Sports Centre PJ,48.86,4.4,Recreation Centers,Selangor
TRIBE Boxing Studio - Tropicana (TG),50.29,4.6,Gyms & Studios,Selangor
TSI Sports Arena Cyberjaya,48.86,4.2,Recreation Centers,Selangor
The Gym Box,60.17,4.6,Gyms & Studios,Sarawak
Kota Permai Golf & Country Club,76.33,4.3,Golf & Driving Ranges,Selangor
Pusat Refleksologi Tradisional Shu Xin - Mahkota Cheras Branch,56.0,4.2,Saunas & Spas,Selangor
Kolam D'Semarak Air Masin,48.71,4.0,Fishing & Hunting,Selangor
Juara Badminton Arena,44.43,4.3,Team Sports & Fields,Sabah
Dewan Badminton Bandar Lahat Baru,43.71,4.2,Other Outdoor & Lawn Sports,Perak
West Point Gym,43.17,4.0,Gyms & Studios,Selangor
Combine Training,55.17,5.0,Gyms & Studios,Pahang
D' Futsal Center,26.43,4.4,Ball Sports,Perlis
Celebrity Fitness Gym - Dpulze,38.29,3.4,Gyms & Studios,Selangor
BUMP Bouldering Jaya One,52.57,4.6,Gyms & Studios,Selangor
Sport Centre 88,33.14,4.0,Recreation Centers,Selangor
seven star gym block 86,58.29,5.0,Gyms & Studios,Other
HAVONA BADMINTON SPORTS CENTRE,43.43,4.7,Other Outdoor & Lawn Sports,Johor
Legend Futsal Indera Mahkota,29.29,4.2,Ball Sports,Pahang
Bayuemas Cricket Oval,16.71,4.5,Ball Sports,Selangor
Anytime Fitness Setiawangsa,34.43,4.0,Gyms & Studios,Kuala Lumpur
AY Beauty And Spa (Female),71.71,4.9,Saunas & Spas,Other
Mount Kinabalu Golf Club,47.43,4.3,Golf & Driving Ranges,Sabah
Taiping Fishing Tackle,52.17,4.6,Fishing & Hunting,Perak
Kolam Pancing Air Masin Abah23 Paradise Sungai Nibong,39.67,4.4,Fishing & Hunting,Selangor
Langkawi Gym and Fitness,62.71,4.6,Gyms & Studios,Kedah
HIITREBEL TRAINING CLUB,32.14,4.3,Gyms & Studios,Kuala Lumpur
J.C Pro Fitness GYM (Kuchai Lama),34.86,4.6,Gyms & Studios,Kuala Lumpur
Bangi Fishing Tackle,19.17,4.4,Fishing & Hunting,Selangor
Pertama Fishing Shop (Telok Panglima Garang),65.5,4.2,Fishing & Hunting,Selangor
Beats Studio Kuching,30.14,5.0,Gyms & Studios,Sarawak
